"",".id","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime"
"125","station","131","N Rhodes & 16th St N","31018","1395844161296","38.892164","-77.079375","true","false","1302963480000","false","true","7","4","1395837023480"
"126","station","132","Fairfax Village","31706","1395844202195","38.86559","-76.952103","true","false","1311771600000","false","true","6","9","1395808215915"
"127","station","133","21st St & Constitution Ave NW","31261","1395844161828","38.892459","-77.046567","true","false","1359639120000","false","true","11","3","1395839430736"
"128","station","134","Wilson Blvd & N Edgewood St","31019","1395844296956","38.889","-77.0925","true","false","1321015980000","false","true","7","8","1395839748845"
"129","station","135","Columbia Rd & Belmont St NW","31113","1395844233931","38.920669","-77.04368","true","false","1321625100000","false","true","6","13","1395843750568"
"130","station","136","17th & Rhode Island Ave NW","31239","1395844237693","38.906602","-77.038785","true","false","1321639800000","false","true","6","17","1395842520721"
"131","station","137","Thomas Circle","31241","1395844174732","38.9059","-77.0325","true","false","1321714320000","false","true","2","31","1395843533148"
"132","station","138","Wilson Blvd & Franklin Rd","31020","1395844290260","38.8904","-77.0889","true","false","1322715600000","false","true","3","8","1395840549342"
"133","station","139","Clarendon Blvd & N Fillmore St","31021","1395844197783","38.8881","-77.09308","true","false","1321981080000","false","true","7","8","1395832180332"
"134","station","140","Clarendon Metro / Wilson Blvd & N Highland St","31022","1395844172317","38.88786","-77.094875","true","false","1321983480000","false","true","10","7","1395835499810"
"135","station","141","18th St & Pennsylvania Ave NW","31242","1395844220560","38.89968","-77.041539","true","false","1322571600000","false","true","14","1","1395843253903"
"136","station","142","Maryland & Independence Ave SW","31243","1395844308970","38.887299","-77.018939","true","false","1327669020000","false","true","21","17","1395844066651"
"137","station","143","4th & E St SW","31244","1395844305125","38.88412","-77.017445","true","false","1322756880000","false","true","9","10","1395844304043"
"138","station","144","3rd & G St SE","31625","1395844186104","38.881185","-77.001828","true","false","1322661660000","false","true","4","15","1395841548646"
"139","station","145","7th & R St NW / Shaw Library","31245","1395844243960","38.912719","-77.022155","true","false","1322583120000","false","true","5","10","1395843762355"
"140","station","146","9th & Upshur St NW","31404","1395844286229","38.9418","-77.0251","true","false","1323194880000","false","true","3","12","1395839812105"
"141","station","147","1st & Rhode Island Ave NW","31506","1395844349911","38.915417","-77.012289","true","false","1323178380000","false","true","5","10","1395842900002"
"142","station","148","Columbia Rd & Georgia Ave NW","31115","1395844359823","38.928156","-77.02344","true","false","1323234000000","false","true","0","19","1395843634913"
"143","station","149","California St & Florida Ave NW","31116","1395844224126","38.917761","-77.04062","true","false","1323752400000","false","true","0","18","1395842159870"
"144","station","150","Benning Rd & East Capitol St NE / Benning Rd Metro","31707","1395844357089","38.889935","-76.93723","true","false","1324404360000","false","true","9","10","1395825875617"
"145","station","151","3000 Connecticut Ave NW / National Zoo","31307","1395844279215","38.930282","-77.055599","true","false","1324496640000","false","true","4","11","1395842347339"
"146","station","152","Anacostia Ave & Benning Rd NE / River Terrace ","31708","1395844248044","38.896544","-76.96012","true","false","1324402320000","false","true","10","5","1395808221199"
"147","station","153","M St & Pennsylvania Ave NW","31246","1395844311653","38.905126","-77.056887","true","false","1324485480000","false","true","9","10","1395843585094"
"148","station","154","15th St & Massachusetts Ave SE","31626","1395844326206","38.88732","-76.983569","true","false","1324565040000","false","true","0","14","1395840432686"
"149","station","155","Congress Heights Metro","31806","1395844156607","38.844711","-76.987823","true","false","1324581180000","false","true","6","8","1395831858037"
"150","station","156","N Quincy St & Glebe Rd","31035","1395844265724","38.876393","-77.107735","true","false","1335552600000","false","true","7","4","1395843297509"
"151","station","157","Wilson Blvd & N Oakland St","31033","1395844195619","38.8815","-77.10396","true","false","1335387720000","false","true","6","5","1395839361867"
"152","station","158","N Veitch  & 20th St N","31029","1395844361824","38.896923","-77.086502","true","false","1335213360000","false","true","9","6","1395839054727"
"153","station","159","11th & K St NW","31263","1395844215407","38.90268","-77.02674","true","false","1360936140000","false","true","0","19","1395843310047"
"154","station","160","Fairfax Dr & Wilson Blvd","31023","1395844357655","38.885801","-77.097745","true","false","1335545880000","false","true","4","7","1395832216064"
"155","station","161","Key Blvd & N Quinn St","31027","1395844217550","38.896015","-77.078107","true","false","1335195480000","false","true","4","7","1395840354807"
"156","station","162","1st & K St SE","31628","1395844339946","38.87861","-77.006004","true","false","1328717220000","false","true","10","5","1395840599449"
"157","station","163","39th & Calvert St NW / Stoddert","31306","1395844344627","38.922649","-77.077271","true","false","1328898300000","false","true","0","19","1395839929499"
"158","station","164","1st & Washington Hospital Center NW","31507","1395844297891","38.928743","-77.012457","true","false","1329153540000","false","true","8","7","1395841656693"
"159","station","165","Virginia Square Metro / N Monroe St & 9th St N","31024","1395844321928","38.882788","-77.103148","true","false","1329508980000","false","true","13","6","1395843506751"
"160","station","166","Central Library / N Quincy St & 10th St N","31025","1395844214939","38.88397","-77.10783","true","false","1329493920000","false","true","6","5","1395784405552"
"161","station","167","Washington Blvd & 10th St N","31026","1395844255497","38.884734","-77.093485","true","false","1329944340000","false","true","6","9","1395836201060"
"162","station","168","Jefferson Dr & 14th St SW","31247","1395844360139","38.888553","-77.032429","true","false","1331911860000","false","true","13","8","1395841923799"
"163","station","169","Smithsonian / Jefferson Dr & 12th St SW","31248","1395844162296","38.888767","-77.02858","true","false","1333369620000","false","true","9","14","1395836721470"
"164","station","170","George Mason Dr & Wilson Blvd","31036","1395844348187","38.87887","-77.1207","true","false","1335805380000","false","true","8","7","1395843623354"
"165","station","171","6th St & Indiana Ave NW","31264","1395844148973","38.894573","-77.01994","true","false","1364990040000","false","true","12","7","1395844148280"
"166","station","172","N Veitch & Key Blvd","31028","1395844316584","38.893241","-77.086045","true","false","1335202980000","false","true","4","7","1395841366901"
"167","station","173","N Adams St & Lee Hwy","31030","1395844132903","38.89593","-77.089006","true","false","1335369060000","false","true","9","6","1395840139594"
"168","station","174","15th & N Scott St","31031","1395844306242","38.89054","-77.08095","true","false","1335362100000","false","true","5","6","1395842133037"
"169","station","175","Washington Blvd & 7th St N","31032","1395844170092","38.880834","-77.091129","true","false","1335794400000","false","true","6","5","1395832571352"
"170","station","176","Ballston Metro / N Stuart & 9th St N","31037","1395844240756","38.881044","-77.111768","true","false","1335817440000","false","true","12","7","1395840581200"
"171","station","177","N Randolph St & Fairfax Dr","31034","1395844354738","38.882629","-77.109366","true","false","1335542580000","false","true","7","4","1395839797279"
"172","station","178","Jefferson Memorial","31249","1395844226429","38.879819","-77.037413","true","false","1335969180000","false","true","6","17","1395839207877"
"173","station","179","Good Hope Rd & 14th St SE","31803","1395844333812","38.866611","-76.985238","true","false","1335981060000","false","true","13","2","1395835324312"
"174","station","180","Glebe Rd & 11th St N","31038","1395844210202","38.883921","-77.116817","true","false","1337269200000","false","true","5","6","1395843818653"
"175","station","181","N Quincy St & Wilson Blvd","31039","1395844154879","38.880151","-77.107673","true","false","1338301620000","false","true","4","7","1395838514802"
"176","station","182","Fairfax Dr & Kenmore St","31040","1395844283635","38.884616","-77.10108","true","false","1366814880000","false","true","7","4","1395839087135"
"177","station","183","Gallaudet / 8th St & Florida Ave NE","31508","1395844247563","38.90509","-76.9941","true","false","1342033620000","false","true","9","10","1395844005145"
"178","station","185","20th & L St NW","31250","1395844347842","38.903584","-77.044789","true","false","1340632500000","false","true","19","0","1395843622810"
"179","station","186","12th & L St NW","31251","1395844192250","38.903819","-77.0284","true","false","1340639640000","false","true","13","6","1395843601009"
